Date,RGDP_FIJI,G_REAL_GROWTH_FIJI,RGDP_AUS,G_REAL_GROWTH_AUS,REER_FIJI,SUGAROUTPUT_FIJI,G_SUGAR_OUTPUT,SUGAROUTPUT_FIJI_MISSING
1970,1.6316,,406.2,,,,,
1971,1.7436,6.864427556,421.7,3.815854259,,,,
1972,1.8744,7.501720578,429.7,1.897083235,,,,
1973,2.0921,11.61438327,451.4,5.050034908,,,,
1974,2.1453,2.542899479,458,1.462117856,,,,
1975,2.1442,-0.05127488,466.6,1.877729258,,,,
1976,2.1821,1.767558996,487.2,4.414916417,,,,
1977,2.1063,-3.473717978,493.6,1.3136289,,,,
1978,2.1472,1.941793667,504.7,2.248784441,,,,
1979,2.4111,12.29042474,525.8,4.180701407,,,,
1980,2.3702,-1.696321181,541,2.890833016,145.523507,,,
1981,2.5125,6.003712767,563.3,4.121996303,149.598124,,,
1982,2.4851,-1.090547264,563.7,0.071010119,150.22906,,,
1983,2.3804,-4.213110136,561,-0.47897818,149.507794,,,
1984,2.621,10.10754495,596.6,6.345811052,151.545193,,,
1985,2.5221,-3.773368943,629.1,5.447536038,153.658357,,,
1986,2.6885,6.597676539,644.5,2.447941504,138.165279,,,
1987,2.4951,-7.193602381,676.1,4.903025601,117.477293,,,
1988,2.5814,3.458779207,704.8,4.244934181,99.757068,,,
1989,2.9399,13.88781281,738.1,4.724744608,99.705548,,,
1990,3.1105,5.802918467,754.8,2.262566048,100.466102,4016,,4016
1991,3.0263,-2.706960296,745.7,-1.205617382,103.380059,3380,-15.83665339,3380
1992,3.2111,6.106466642,765.9,2.708864154,103.720261,3533,4.526627219,3533
1993,3.2947,2.603469216,796.8,4.034469252,107.430565,3704,4.840079253,3704
1994,3.4624,5.089993019,834.3,4.706325301,107.701338,4064,9.719222462,4064
1995,3.6326,4.915665434,859.1,2.97255184,105.651249,4110.2,1.136811024,4110.2
1996,3.8048,4.740406321,895.9,4.283552555,106.050565,4380,6.564157462,4380
1997,3.7188,-2.260302775,932.4,4.074115415,109.323742,3280,-25.11415525,3280
1998,3.7644,1.226202001,978.9,4.987129987,92.983952,2098,-36.03658537,
1999,4.1112,9.212623526,1019.7,4.16794361,93.198896,3958,88.65586273,3958
2000,4.038,-1.780502043,1051.2,3.089143866,90.232322,3786,-4.345629106,3786
2001,4.1175,1.968796434,1078.7,2.616057839,91.391752,2805,-25.91125198,2805
2002,4.2474,3.154826958,1121.3,3.949198109,91.669841,3422,21.99643494,3422
2003,4.2897,0.995903376,1155.4,3.041112994,97.889979,2610,-23.72881356,2610
2004,4.5238,5.457258083,1202.7,4.093820322,99.843783,3001,14.98084291,3001
2005,4.6368,2.497899996,1240.4,3.134613786,100,2789,-7.064311896,
2006,4.7229,1.856884058,1273.5,2.668494034,97.790079,3226,15.66869846,3226
2007,4.6823,-0.859641322,1331.4,4.546525324,99.500413,2478,-23.1866088,2478
2008,4.7306,1.031544327,1367.2,2.688898903,102.174897,2321,-6.335754641,2321
2009,4.665,-1.386716273,1388.3,1.543300176,90.552315,2247,-3.188280913,2247
2010,4.8029,2.956055734,1419.5,2.247352878,88.007182,1778,-20.87227414,1778
2011,4.9328,2.704615961,1456.3,2.592462135,92.155705,2096,17.88526434,2096
2012,5.0231,1.830603308,1508.8,3.605026437,94.978416,1640,-21.75572519,1640
2013,5.2563,4.642551412,1543.9,2.326352068,95.888873,1760,7.317073171,1760
2014,,,,,,,,
2015,,,,,,,,
2016,,,,,,,,
2017,,,,,,,,
2018,,,,,,,,
2019,,,,,,,,
2020,,,,,,,,
,,,,,,,,
